,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD),category
28,Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36.0,12.0,20.0,Silver,Sapphire,Date,70 hours,"9,000",Watches
29,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,250",Watches
30,IWC,Portugieser,Stainless Steel,Alligator,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Date,60 hours,"8,800",Watches
31,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,"17,800",Watches
32,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"11,500",Watches
33,Zenith,El Primero,Stainless Steel,Alligator,Automatic,100 meters,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50 hours,"6,500",Watches
34,Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,45 hours,"23,500",Watches
35,Piaget,Polo S,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,9.4,24.0,Blue,Sapphire,Date,50 hours,"10,000",Watches
36,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44.0,12.5,22.0,Blue,Sapphire,Date,60 hours,"9,500",Watches
37,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Silver,Sapphire,Date,60 hours,"21,500",Watches
38,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.27,23.0,Black,Sapphire,None,68 hours,"9,800",Watches
39,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"19,900",Watches
40,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,22.0,Black,Sapphire,Date,120 hours,"14,400",Watches
41,Breguet,Type XXI,Stainless Steel,Leather,Automatic,100 meters,42.0,13.85,22.0,Silver,Sapphire,Chronograph,48 hours,"9,500",Watches
42,Bulgari,Octo Finissimo,Titanium,Leather,Automatic,100 meters,40.0,5.15,28.0,Black,Sapphire,None,60 hours,"12,800",Watches
43,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,13.7,20.0,Black,Sapphire,Chronograph,42 hours,"6,500",Watches
44,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,20.0,Blue,Sapphire,None,54 hours,"7,800",Watches
45,Glashütte Original,Senator,Stainless Steel,Leather,Automatic,50 meters,42.0,12.2,21.0,Silver,Sapphire,None,40 hours,"9,200",Watches
46,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.3,20.0,Black,Sapphire,None,42 hours,"6,500",Watches
47,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,"8,400",Watches
48,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.13,23.0,Silver,Sapphire,None,68 hours,"6,200",Watches
49,Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.3,20.0,Blue,Sapphire,Date,42 hours,"1,600",Watches
50,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,"29,800",Watches
51,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"24,500",Watches
52,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,"7,950",Watches
53,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.5,22.0,Black,Sapphire,None,42 hours,"8,200",Watches
54,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"11,500",Watches
55,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,13.1,22.0,Silver,Sapphire,Chronograph,50 hours,"9,400",Watches
56,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,25.0,Blue,Sapphire,None,54 hours,"6,700",Watches
57,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,11.43,20.0,Black,Sapphire,Chronograph,42 hours,"6,100",Watches
58,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,60 hours,"16,300",Watches
59,Montblanc,1858,Stainless Steel,Leather,Automatic,100 meters,42.0,12.8,22.0,Black,Sapphire,None,38 hours,"3,600",Watches
60,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,300 meters,44.0,12.5,22.0,Black,Sapphire,Date,60 hours,"9,500",Watches
61,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.2,20.0,Silver,Sapphire,Date,70 hours,"8,900",Watches
62,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,"Date, Moon Phase",48 hours,"44,500",Watches
63,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"17,000",Watches
64,Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,None,70 hours,"4,500",Watches
65,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,"Chronograph, Date",46 hours,"8,300",Watches
66,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,"Date, Second Time Zone",72 hours,"8,900",Watches
67,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,43.6,13.83,23.0,Black,Sapphire,"Date, Unidirectional Bezel",120 hours,"12,000",Watches
68,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45.0,10.95,24.0,Blue,Sapphire,Date,42 hours,"7,500",Watches
69,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,"Chronograph, Date",50 hours,"6,900",Watches
70,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,11.0,20.0,Blue,Sapphire,"Date, Second Time Zone",60 hours,"15,500",Watches
71,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Black,Sapphire,None,54 hours,"11,200",Watches
72,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,39.0,9.4,20.0,Blue,Sapphire,"Date, Power Reserve Indicator",60 hours,"18,900",Watches
73,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,"49,800",Watches
74,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44 hours,"5,500",Watches
75,Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,"9,600",Watches
76,Breguet,Type XX,Stainless Steel,Leather,Automatic,100 meters,39.5,14.1,20.0,Black,Sapphire,"Date, Chronograph, Flyback",48 hours,"8,800",Watches
77,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,43.0,13.4,23.0,Black,Sapphire,Date,120 hours,"14,700",Watches
78,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"10,600",Watches
79,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,Date,60 hours,"19,200",Watches
80,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.15,19.0,Silver,Sapphire,Chronograph,50 hours,"7,500",Watches
81,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,Chronograph,48 hours,"5,600",Watches
82,Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.75,22.0,Blue,Sapphire,Date,64 hours,"1,400",Watches
83,Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40.0,13.0,20.0,Black,Sapphire,Date,48 hours,"9,500",Watches
84,Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21.0,Blue,Sapphire,Date,60 hours,"5,800",Watches
85,Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41.0,13.0,20.0,White,Sapphire,Chronograph,42 hours,"4,200",Watches
86,Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30 meters,43.0,14.25,22.0,Black,Sapphire,Chronograph,70 hours,"7,900",Watches
88,Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20.0,Black,Sapphire,None,45 hours,"5,500",Watches
89,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.75,22.0,Black,Sapphire,Date,70 hours,"3,500",Watches
90,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,42.3,13.4,22.0,Blue,Hardlex,None,50 hours,650,Watches
91,Citizen,Promaster,Titanium,Titanium,Eco-Drive,200 meters,46.5,15.0,23.0,Black,Sapphire,Chronograph,210 days,995,Watches
92,Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,100 meters,38.0,9.85,20.0,Black,Sapphire,None,80 hours,545,Watches
94,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,500",Watches
95,Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,200 meters,42.0,14.35,22.0,Black,Sapphire,Date,38 hours,"4,800",Watches
96,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,Date,70 hours,"6,500",Watches
97,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,21.5,Silver,Sapphire,Date,42 hours,"7,500",Watches
98,Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,9.15,20.0,Silver,Sapphire,None,50 hours,"4,500",Watches
99,Panerai,Luminor Base,Stainless Steel,Leather,Manual,100 meters,44.0,10.5,24.0,Black,Sapphire,None,56 hours,"5,800",Watches
100,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Silver,Sapphire,Date,60 hours,"21,000",Watches
101,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.86,20.0,Black,Sapphire,Date,42 hours,"3,800",Watches
102,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,"3,900",Watches
104,Sinn,U1,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.3,22.0,Black,Sapphire,None,38 hours,"2,500",Watches
105,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,"Date, Power Reserve, Moon Phase",45 hours,"38,000",Watches
106,Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"55,000",Watches
107,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,"Date, Power Reserve",40 hours,"21,000",Watches
108,A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,30 meters,38.5,7.8,18.0,Silver,Sapphire,None,45 hours,"23,000",Watches
109,Breguet,Classique,Rose Gold,Leather,Manual,30 meters,38.5,8.25,20.0,Silver,Sapphire,Power Reserve,65 hours,"23,000",Watches
110,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,"8,500",Watches
111,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"14,000",Watches
112,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Blue,Sapphire,Chronograph,72 hours,"16,000",Watches
113,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,"8,500",Watches
114,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50 hours,"6,000",Watches
115,Piaget,Altiplano,White Gold,Leather,Manual,30 meters,38.0,6.1,20.0,Silver,Sapphire,None,43 hours,"16,500",Watches
116,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,12.7,20.0,Blue,Sapphire,Day/Date,41 hours,"1,200",Watches
117,Panerai,Luminor Due,Stainless Steel,Leather,Automatic,30 meters,38.0,11.2,20.0,Black,Sapphire,None,72 hours,"6,500",Watches
118,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,"Chronograph, Moon Phase",46 hours,"9,800",Watches
119,Blancpain,Fifty Fathoms,Titanium,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,"16,800",Watches
120,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.5,20.0,Black,Sapphire,Date,60 hours,"19,800",Watches
121,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,"47,000",Watches
122,Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,40.0,6.8,20.0,White,Sapphire,None,55 hours,"19,000",Watches
123,Vacheron Constantin,Patrimony,18K White Gold,Leather,Manual,30 meters,40.0,6.79,20.0,Silver,Sapphire,None,65 hours,"18,500",Watches
124,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.97,22.0,Black,Sapphire,Chronograph,42 hours,"5,800",Watches
125,Longines,Conquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,13.2,20.0,Black,Sapphire,Chronograph,54 hours,"2,200",Watches
126,Montblanc,1858,Stainless Steel,Leather,Manual,30 meters,44.0,12.3,22.0,Black,Sapphire,None,50 hours,"3,500",Watches
127,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,"9,950",Watches
128,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.7,20.0,Black,Hesalite,Chronograph,48 hours,"4,950",Watches
129,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,"38,000",Watches
130,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"22,000",Watches
131,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,46 hours,"7,500",Watches
132,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,Date,70 hours,"8,900",Watches
133,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"13,900",Watches
134,Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40.0,6.8,20.0,Silver,Sapphire,None,65 hours,"20,500",Watches
135,Ulysse Nardin,Marine,Titanium,Rubber,Automatic,300 meters,44.0,14.5,22.0,Blue,Sapphire,Date,60 hours,"9,500",Watches
136,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41.0,14.5,20.0,Black,Sapphire,Chronograph,72 hours,"16,000",Watches
137,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.75,20.0,White,Sapphire,Chronograph,50 hours,"5,500",Watches
138,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.8,20.0,Black,Sapphire,Date,70 hours,"8,200",Watches
139,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,13.2,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,500",Watches
140,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,"6,500",Watches
141,Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,"3,600",Watches
142,Patek Philippe,Calatrava,Rose Gold,Leather,Manual,30 meters,36.0,7.45,18.0,White,Sapphire,None,44 hours,"18,000",Watches
143,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,42.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,"8,900",Watches
144,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,"Date, Rotating Bezel",120 hours,"13,500",Watches
145,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"26,000",Watches
146,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Black,Sapphire,Chronograph,50 hours,"6,500",Watches
147,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.5,12.3,22.0,Silver,Sapphire,None,60 hours,"7,800",Watches
148,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,38.0,7.58,20.0,Silver,Sapphire,None,70 hours,"4,500",Watches
149,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"29,800",Watches
150,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,"23,100",Watches
151,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,"7,950",Watches
152,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,40 hours,"18,900",Watches
153,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"12,800",Watches
154,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,26.0,Black,Sapphire,Chronograph,72 hours,"17,900",Watches
155,Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,40 hours,"15,200",Watches
156,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,14.2,22.0,Blue,Sapphire,Date,60 hours,"8,400",Watches
157,Zenith,Defy,Titanium,Rubber,Automatic,100 meters,41.0,10.75,22.0,Blue,Sapphire,Chronograph,50 hours,"9,500",Watches
158,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Silver,Sapphire,None,46 hours,"9,200",Watches
159,Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,"7,500",Watches
160,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,43.0,13.2,22.0,Blue,Hardlex,Date,50 hours,"1,300",Watches
161,Tissot,Le Locle,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,20.0,Silver,Sapphire,Date,38 hours,650,Watches
162,Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40.0,10.25,20.0,Black,Sapphire,Date,64 hours,"2,500",Watches
163,Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,50 meters,40.0,11.15,20.0,Silver,Sapphire,Date,80 hours,"1,150",Watches
164,Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40.0,9.85,20.0,Silver,Sapphire,Date,42 hours,"2,750",Watches
166,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40.0,10.5,20.0,Silver,Sapphire,Date,38 hours,"1,400",Watches
167,Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,8.15,22.0,White,Sapphire,Date,50 hours,"5,500",Watches
168,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,25.0,Black,Sapphire,Date,46 hours,"8,700",Watches
169,Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50 meters,42.0,11.15,20.0,Blue,Sapphire,Date,60 hours,"7,900",Watches
170,Sinn,U50,German Submarine Steel,Silicone,Automatic,500 meters,45.0,14.7,22.0,Black,Sapphire,None,38 hours,"3,350",Watches
171,Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,"8,000",Watches
172,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,"6,500",Watches
173,Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33.0,9.96,16.0,Silver,Sapphire,Date,42 hours,"4,500",Watches
175,Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,"3,600",Watches
176,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,"8,900",Watches
177,Panerai,Luminor Marina,Titanium,Leather,Manual,300 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,"5,700",Watches
178,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"34,000",Watches
179,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,None,43 hours,"6,800",Watches
180,Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100 meters,41.0,9.7,22.0,Black,Sapphire,Date,40 hours,"2,500",Watches
181,Montblanc,1858,Bronze,Leather,Automatic,100 meters,44.0,12.8,22.0,Black,Sapphire,None,42 hours,"5,300",Watches
182,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"34,000",Watches
183,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,"22,000",Watches
184,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,21.0,Blue,Sapphire,Date,60 hours,"17,500",Watches
185,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,22.0,Silver,Sapphire,Date,60 hours,"8,500",Watches
